Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-11-03;17,00;340,00;221,00;238,00;119,00;72,25;89,25;138,13;59,50;26,92;43,92;26,92;72,25;68,00;73,67;53,83;25,50;47,00;35,00;29,00;35,00;34,00;34,00;22,31;28,69;6,00;23,00;6,00;6,00;6,00;6,00;6,00;0,00;0,00;6,00;6,00
2019-11-10;41,00;533,00;246,00;143,50;143,50;129,15;75,85;69,70;53,30;80,54;57,11;41,00;74,68;0,00;60,13;54,67;60,13;47,00;35,00;12,00;35,00;17,26;23,74;17,26;23,74;24,00;35,00;0,00;18,00;6,00;0,00;0,00;0,00;6,00;6,00;0,00
2019-11-17;41,00;287,00;307,50;246,00;123,00;100,45;82,00;88,15;59,45;46,86;74,68;29,29;62,96;24,60;71,07;65,60;46,47;24,00;59,00;18,00;18,00;17,26;29,13;11,87;29,13;24,00;12,00;6,00;0,00;12,00;0,00;18,00;0,00;6,00;0,00;0,00
2019-11-24;23,00;368,00;368,00;184,00;115,00;102,45;102,45;131,73;52,27;46,00;98,13;52,13;144,13;34,50;34,50;43,13;54,63;28,00;22,00;22,00;34,00;56,95;23,00;33,95;23,00;11,00;11,00;6,00;11,00;11,00;0,00;11,00;0,00;6,00;11,00;0,00
2019-12-01;35,00;227,50;227,50;105,00;227,50;92,65;86,47;105,00;57,65;59,35;59,35;41,09;65,43;29,62;51,15;45,77;45,77;58,00;29,00;35,00;35,00;35,00;17,50;22,97;17,50;12,00;12,00;17,00;6,00;23,00;6,00;12,00;12,00;12,00;0,00;0,00
2019-12-08;40,00;320,00;180,00;160,00;100,00;69,47;92,63;92,63;46,32;40,00;78,52;62,22;90,37;16,00;16,00;50,67;34,67;17,00;34,00;17,00;23,00;33,51;17,30;0,00;17,30;23,00;28,00;11,00;11,00;6,00;23,00;6,00;0,00;6,00;6,00;0,00
2019-12-15;45,00;450,00;337,50;270,00;157,50;106,36;106,36;135,00;79,77;34,50;73,50;34,50;79,50;21,18;21,18;15,88;60,88;28,00;40,00;40,00;62,00;38,57;17,14;10,71;5,36;6,00;17,00;40,00;11,00;23,00;0,00;11,00;6,00;11,00;0,00;6,00
2019-12-22;43,00;430,00;322,50;322,50;129,00;79,86;116,71;98,29;61,43;54,86;78,59;37,07;97,86;24,19;29,56;80,63;29,56;68,00;37,00;18,00;18,00;30,10;6,45;18,28;6,45;6,00;25,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;42,00;420,00;252,00;336,00;189,00;60,90;54,60;111,30;54,60;12,00;126,00;54,00;72,00;28,88;70,88;42,00;18,38;18,00;30,00;18,00;12,00;23,69;30,15;23,69;11,85;24,00;24,00;0,00;24,00;12,00;18,00;12,00;18,00;12,00;6,00;0,00
2020-01-05;38,00;304,00;304,00;171,00;152,00;148,00;68,00;116,00;38,00;39,52;39,52;60,80;110,96;43,43;38,00;38,00;38,00;27,00;38,00;44,00;38,00;32,57;27,14;16,29;16,29;38,00;27,00;5,00;5,00;11,00;11,00;0,00;5,00;5,00;11,00;5,00
2020-01-12;32,00;304,00;224,00;160,00;144,00;104,00;114,00;110,00;62,00;27,43;92,95;54,86;59,43;32,00;21,33;69,33;16,00;96,00;32,00;27,00;27,00;22,07;48,55;27,59;22,07;5,00;5,00;21,00;5,00;27,00;11,00;5,00;5,00;5,00;5,00;5,00
2020-01-19;22,00;374,00;330,00;242,00;176,00;112,00;96,00;92,00;70,00;54,27;48,40;70,40;76,27;27,50;55,00;275,00;44,00;28,00;39,00;28,00;22,00;45,10;16,50;0,00;0,00;16,00;27,00;11,00;16,00;6,00;11,00;6,00;17,00;0,00;22,00;11,00
2020-01-26;22,00;462,00;264,00;198,00;198,00;64,00;140,00;54,00;92,00;70,40;80,67;48,40;60,13;22,00;66,00;74,25;27,50;28,00;44,00;28,00;22,00;45,10;16,50;5,50;22,00;44,00;22,00;17,00;17,00;17,00;6,00;0,00;11,00;17,00;6,00;0,00
2020-02-02;55,00;256,67;201,67;165,00;91,67;110,00;114,07;114,07;126,30;65,41;65,41;87,70;81,76;38,50;66,00;38,50;22,00;33,00;50,00;28,00;39,00;10,78;32,35;26,96;16,18;39,00;11,00;5,00;6,00;17,00;6,00;22,00;6,00;6,00;17,00;0,00
2020-02-09;49,00;326,67;212,33;179,67;130,67;95,96;36,75;138,83;69,42;61,25;76,56;61,25;93,41;27,22;54,44;49,00;43,56;43,00;54,00;38,00;59,00;22,27;27,84;11,14;33,41;11,00;11,00;27,00;16,00;16,00;5,00;11,00;5,00;0,00;11,00;5,00
2020-02-16;65,00;260,00;178,75;178,75;146,25;95,47;95,47;85,31;95,47;60,47;77,09;77,09;60,47;32,50;48,75;65,00;21,67;38,00;38,00;54,00;22,00;43,33;21,67;5,42;27,08;16,00;11,00;5,00;5,00;5,00;0,00;11,00;5,00;0,00;5,00;11,00
2020-02-23;48,00;224,00;192,00;176,00;128,00;129,39;91,83;152,35;75,13;43,50;75,00;58,50;97,50;37,33;58,67;32,00;32,00;69,00;27,00;27,00;48,00;48,00;10,91;32,73;0,00;27,00;16,00;11,00;16,00;5,00;5,00;5,00;5,00;0,00;5,00;0,00
2020-03-01;27,00;378,00;162,00;162,00;162,00;101,77;60,23;108,00;81,00;43,50;43,50;33,00;54,00;21,60;70,20;21,60;16,20;16,00;32,00;32,00;21,00;58,32;16,20;27,00;16,20;27,00;16,00;27,00;21,00;16,00;11,00;16,00;11,00;11,00;5,00;5,00
2020-03-08;48,00;224,00;160,00;112,00;96,00;68,87;68,87;89,74;54,26;21,00;42,00;42,00;117,00;28,24;45,18;28,24;22,59;16,00;11,00;26,00;11,00;20,73;5,45;10,91;20,73;21,00;26,00;0,00;11,00;5,00;5,00;5,00;5,00;11,00;5,00;5,00
2020-03-15;26,00;234,00;130,00;104,00;52,00;26,00;6,00;76,00;40,00;5,78;40,44;20,22;40,44;5,20;36,40;15,60;10,40;11,00;26,00;11,00;16,00;20,58;0,00;5,42;0,00;5,00;16,00;0,00;0,00;16,00;21,00;11,00;0,00;0,00;0,00;0,00
2020-03-22;5,00;70,00;20,00;30,00;10,00;25,00;5,00;16,67;5,00;0,00;6,67;18,33;35,00;0,00;30,00;5,00;5,00;10,00;0,00;5,00;26,00;19,00;0,00;0,00;10,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00
2020-03-29;35,00;140,00;35,00;35,00;70,00;41,18;24,71;24,71;10,29;0,00;14,58;4,38;14,58;0,00;24,23;5,38;5,38;30,00;10,00;5,00;10,00;5,30;5,30;5,30;0,00;5,00;5,00;0,00;5,00;0,00;10,00;5,00;0,00;5,00;5,00;5,00
2020-04-05;11,00;55,00;44,00;11,00;22,00;39,60;11,00;28,60;6,60;6,29;11,00;22,00;17,29;16,50;11,00;16,50;16,50;26,00;5,00;0,00;5,00;11,00;11,00;0,00;0,00;5,00;5,00;16,00;5,00;0,00;5,00;5,00;5,00;0,00;0,00;0,00
2020-04-12;10,00;50,00;20,00;20,00;10,00;34,00;14,00;30,00;4,00;10,00;10,00;14,29;40,00;0,00;20,00;5,00;0,00;0,00;0,00;10,00;10,00;10,00;5,56;5,56;0,00;5,00;15,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;15,00;60,00;30,00;45,00;30,00;25,71;10,71;25,71;4,29;10,50;4,50;0,00;10,50;0,00;17,50;5,00;15,00;15,00;15,00;0,00;10,00;15,00;9,64;5,36;5,36;0,00;5,00;5,00;0,00;10,00;5,00;10,00;0,00;10,00;0,00;0,00
2020-04-26;5,00;60,00;10,00;20,00;10,00;52,50;12,50;52,50;22,50;11,67;16,67;21,67;0,00;5,00;32,50;10,00;10,00;5,00;29,00;5,00;10,00;16,25;5,00;0,00;0,00;0,00;15,00;10,00;24,00;0,00;0,00;0,00;0,00;5,00;5,00;5,00
2020-05-03;15,00;30,00;45,00;30,00;15,00;21,43;32,14;40,71;10,71;0,00;15,00;25,50;30,00;17,50;22,50;5,00;5,00;15,00;10,00;10,00;5,00;0,00;0,00;5,36;9,64;0,00;5,00;10,00;5,00;0,00;5,00;0,00;5,00;5,00;0,00;5,00
2020-05-10;20,00;80,00;40,00;20,00;40,00;38,00;20,00;4,00;10,00;15,38;15,38;15,38;30,77;0,00;31,43;11,43;11,43;30,00;15,00;5,00;15,00;15,56;0,00;5,56;10,00;10,00;15,00;0,00;5,00;10,00;0,00;5,00;0,00;0,00;5,00;5,00
2020-05-17;16,00;48,00;32,00;32,00;32,00;16,00;16,00;10,00;6,00;0,00;16,00;22,40;33,60;5,33;10,67;5,33;5,33;10,00;16,00;16,00;31,00;21,71;21,71;0,00;0,00;16,00;5,00;0,00;10,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00
2020-05-24;35,00;87,50;35,00;35,00;35,00;20,59;24,71;35,00;24,71;10,21;29,17;18,96;29,17;0,00;29,62;5,38;18,85;10,00;15,00;25,00;20,00;25,16;0,00;0,00;5,47;0,00;10,00;10,00;10,00;25,00;0,00;10,00;10,00;10,00;10,00;0,00
2020-05-31;38,00;95,00;76,00;76,00;38,00;38,00;70,00;32,00;42,00;8,77;23,38;19,00;23,38;5,43;29,86;24,43;19,00;29,00;0,00;29,00;10,00;28,23;9,77;9,77;4,34;14,00;14,00;0,00;10,00;14,00;14,00;10,00;19,00;0,00;0,00;0,00
2020-06-07;33,00;115,50;49,50;82,50;49,50;33,00;33,00;28,88;33,00;4,50;13,50;19,50;37,50;8,25;24,75;5,50;8,25;9,00;9,00;28,00;14,00;28,60;24,20;0,00;9,90;28,00;5,00;0,00;9,00;9,00;5,00;5,00;5,00;5,00;0,00;9,00
2020-06-14;44,00;132,00;66,00;176,00;88,00;64,95;35,62;54,48;39,81;10,62;19,72;30,34;39,45;11,00;24,75;11,00;30,25;24,00;10,00;54,00;15,00;63,80;4,40;9,90;9,90;24,00;34,00;15,00;5,00;24,00;29,00;0,00;5,00;20,00;25,00;15,00
2020-06-21;52,00;225,33;69,33;156,00;86,67;62,40;58,24;79,04;58,24;21,41;58,12;21,41;36,71;5,47;35,58;16,42;21,89;36,00;21,00;15,00;21,00;42,04;15,49;15,49;9,96;31,00;0,00;15,00;0,00;0,00;10,00;5,00;21,00;21,00;5,00;5,00
