Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-09-15;29,00;6,00;6,00;11,00;6,00;0,00;0,00;0,00;0,00;0,00;6,69;0,00;22,31;6,00;0,00;17,00;6,00;11,15;0,00;24,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;23,00;6,00;6,00;6,00;17,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;6,90;0,00;0,00;11,00;0,00;0,00;0,00;79,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;40,00;0,00;6,00;0,00;6,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;28,89;0,00;0,00;0,00;6,00;0,00;0,00;33,68;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;12,00;0,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;7,20;0,00;0,00;31,20;0,00;0,00;6,00;6,00;12,00;0,00;28,00;6,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;18,00;0,00;6,00;12,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;6,75;22,50;0,00;0,00;12,00;12,00;0,00;0,00;56,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00
2019-10-20;34,00;0,00;6,00;11,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;11,33;0,00;6,00;11,00;6,00;0,00;0,00;38,25;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;6,00;11,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;68,00;0,00;6,00;23,00;6,00;0,00;0,00;6,00;0,00;0,00;6,80;11,33;22,67;6,00;0,00;11,00;11,00;0,00;0,00;44,63;0,00;0,00;0,00;6,00;6,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;17,00;0,00;0,00;11,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;36,43;0,00;0,00;6,00;11,00;0,00;0,00;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;51,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;4,64;0,00;27,82;0,00;0,00;6,00;6,00;0,00;0,00;102,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;28,00;11,00;6,00;17,00;11,00;11,00;0,00;0,00;0,00;0,00;4,67;16,33;51,33;0,00;0,00;11,00;11,00;0,00;0,00;51,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
